_id;pm2_5;pm10;timestampSensor;o3;pm10;no2;idStation;;;;;;;;;;;;;;;;
5d63f1c464c833009b7e10cf;5.66;4.5;1566837875;3.709.705.399.788.110;10.78;0.0;Barrax;;;;;;;;;;;;;;;;
5d63f4396bd29c009c7f56d7;3.94;2.93;1566838487;0.0;5.22;0.0;Gobierno;;;;;;;;;;;;;;;;
5d63f5896bd29c009c7f56d9;4.21;3.23;1566838833;3.703.760.483.975.230;4.88;0.0;Poligono;;;;;;;;;;;;;;;;
